0.000000, 0.000000
0.000000, 0.000000
0.000000, 0.000000
0.000000, 0.000000
0.000000, 0.000000
0.000000, 0.000000
0.000000, 0.000000
0.000000, 0.000000
0.000000, 0.000000
0.000000, 0.000000
0.000000, 0.000000
0.000000, 0.000000
0.000000, 0.000000
0.000000, 0.000000
0.000000, 0.000000
0.000000, 0.000000
0.000000, 0.000000
0.000000, 0.000000
0.000000, 0.000000
0.000000, 0.000000
0.000000, 0.000000
0.000000, 0.000000
0.000000, 0.000000
0.000000, 0.000000
0.000000, 0.000000
0.000000, 0.000000
0.000000, 0.000000
0.000000, 0.000000
0.000000, 0.000000
0.000000, 0.000000
0.000000, 0.000000
0.000000, 0.000000
0.000000, 0.000000
0.000000, 0.000000
0.000000, 0.000000
0.000000, 0.000000
0.000000, 0.000000
0.000000, 0.000000
0.000000, 0.000000
0.000000, 0.000000
0.000000, 0.000000
-6.000000, 0.000000
-12.000000, 0.000000
-18.000000, 0.000000
-24.000000, 0.000000
-30.000000, 0.000000
-36.000000, 0.000000
-42.000000, 0.000000
-48.000000, 0.000000
-54.000000, 0.000000
-60.000000, 0.000000
-66.000000, 0.000000
-72.000000, 0.000000
-78.000000, 0.000000
-84.000000, 0.000000
-90.000000, 0.000000
-96.000000, 0.000000
-102.000000, 0.000000
-108.000000, 0.000000
-114.000000, 0.000000
-120.000000, 0.000000
-126.000000, 0.000000
-132.000000, 0.000000
-138.000000, 0.000000
-144.000000, 0.000000
-148.800003, 0.000000
-152.639999, 0.000000
-155.712006, 0.000000
-158.169601, 0.000000
-160.135681, 0.000000
-161.708542, 0.000000
-162.966827, 0.000000
-163.973465, 0.000000
-164.778778, 0.000000
-165.423019, 0.000000
-165.938416, 0.000000
-166.350739, 0.000000
-166.680588, 0.000000
-166.944473, 0.000000
-167.155579, 0.000000
-167.324463, 0.000000
-167.459564, -1.000000
-167.567657, -2.800000
-167.654129, -5.240000
-167.723297, -8.191999
-167.778641, -11.553599
-167.822906, -15.242880
-167.858322, -19.194304
-167.886658, -23.355442
-167.909332, -27.684353
-167.927460, -32.147484
-167.941971, -36.717987
-167.953583, -41.374390
-167.962860, -46.099510
-167.970291, -50.879608
-167.976227, -54.703686
-167.980988, -57.762947
-167.984787, -60.210358
-167.987823, -62.168285
-167.990265, -63.734627
-167.992218, -64.987701
-167.993774, -65.990158
-167.995026, -66.792122
-167.996017, -67.433693
-167.996811, -67.946953
-167.997452, -68.357559
-167.997955, -68.686043
-167.998367, -68.948830
-167.998688, -69.159058
-167.998947, -69.327240
-173.998947, -69.461784
-179.998947, -69.569420
-185.998947, -69.655533
-191.998947, -69.724419
-197.998947, -69.779526
-203.998947, -69.823616
-209.998947, -69.858887
-215.998947, -69.887100
-221.998947, -69.909676
-227.998947, -69.927734
-233.998947, -69.942184
-239.998947, -68.953743
-245.998947, -67.162987
-251.998947, -64.730385
-257.998962, -61.784302
-263.998962, -58.427437
-269.998962, -54.741943
-275.998962, -50.793549
-281.998962, -46.634834
-287.998962, -42.307861
-293.998962, -37.846283
-299.998962, -33.277020
-305.998962, -28.621609
-311.998962, -23.897282
-317.998962, -19.117819
-323.998962, -14.294249
-329.998962, -10.435392
-335.998962, -7.348308
-341.998962, -4.878639
-347.998962, -2.902905
-353.998962, -1.322317
-358.798950, -0.057847
-362.638947, 0.953730
-365.710938, 1.762991
-368.168549, 2.410399
-370.134644, 2.928327
-371.707520, 3.342668
-372.965820, 3.674142
-373.972443, 3.939320
-374.777740, 4.151463
-375.421997, 4.321177
-375.937408, 3.456949
-376.349731, 1.765566
-376.679596, -0.587540
-376.943481, -3.470026
-377.154602, -6.776014
-377.323486, -10.420805
-377.458588, -14.336637
-377.566681, -18.469303
-377.653137, -22.775436
-377.722321, -27.220343
-377.777649, -31.776268
-377.821930, -36.421009
-377.857361, -41.136803
-377.885681, -45.909435
-377.908356, -50.727543
-377.926483, -55.582027
-377.940979, -60.465614
-377.952576, -65.372482
-377.961853, -70.297981
-377.969269, -75.238380
-377.975220, -79.190697
-377.979980, -82.352554
-383.979980, -84.882034
-389.979980, -86.905624
-395.979980, -88.524490
-400.979980, -89.819588
-405.979980, -90.855667
-410.979980, -91.684532
-415.979980, -92.347618
-420.979980, -92.878090
-425.979980, -93.302467
-430.979980, -93.641968
-433.979980, -93.913567
-435.379974, -94.130844
-435.499969, -94.304672
-434.595978, -94.443733
-432.872772, -94.554977
-430.494202, -94.643974
-427.591339, -94.715172
-424.269073, -94.772133
-420.611237, -94.817703
-416.684967, -94.854156
-412.543945, -94.883316
-408.231140, -94.906647
-403.780884, -94.925308
-399.220703, -94.940239
-394.572540, -94.952187
-389.854004, -94.961746
-386.079193, -94.969391
-383.059326, -94.975510
-380.643433, -94.980400
-378.710724, -94.984314
-377.164551, -94.987442
-375.927612, -94.989944
-374.938080, -94.991951
-374.146454, -94.993553
-373.513153, -94.994835
-373.006500, -94.995857
-372.601196, -94.996681
-378.601196, -94.997337
-384.601196, -94.997864
-390.601196, -94.998283
-396.601196, -94.998619
-402.601196, -94.998886
-408.601196, -94.999100
-414.601196, -94.999275
-420.601196, -94.999413
-426.601196, -94.999519
-432.601196, -94.999611
-438.601196, -94.999680
-444.601196, -94.999733
-450.601196, -94.999779
-456.601196, -94.999817
-462.601196, -94.999847
-468.601196, -94.999870
-474.601196, -94.999886
-480.601196, -94.999901
-486.601196, -94.999916
-492.601196, -94.999924
-497.401184, -94.999931
-501.241180, -94.999939
-504.313171, -94.999947
-506.770782, -94.999954
-508.736877, -94.999954
-510.309753, -94.999954
-511.568054, -94.999954
-512.574707, -94.999954
-513.380005, -94.999954
-514.024231, -94.999954
-514.539612, -94.999954
-514.951904, -93.999954
-515.281738, -92.199951
-515.545593, -89.759949
-515.756714, -86.807953
-515.925598, -83.446350
-516.060730, -79.757072
-516.168823, -76.805649
-516.255310, -74.444511
-516.324463, -72.555603
-516.379822, -71.044472
-516.424072, -69.835571
-516.459473, -68.868446
-516.487793, -68.094749
-516.510437, -67.475792
-516.528564, -66.980629
-515.543091, -66.584496
-513.754700, -66.267586
-511.323975, -66.014061
-508.379395, -65.811241
-505.023743, -65.648987
-501.339203, -65.519180
-497.391571, -65.415337
-493.233459, -65.332260
-488.906982, -65.265800
-484.445801, -65.212631
-479.876862, -65.170097
-475.221710, -65.136070
-470.497589, -65.108849
-465.718292, -65.087074
-460.894836, -65.069649
-456.036072, -65.055710
-451.149078, -65.044563
-446.239471, -65.035645
-441.311798, -65.028511
